customer_id,customer_name,customer_type,industry,segment,company_size_band,employee_count,annual_revenue_band,region,state,country,acquisition_channel,lifecycle_stage,customer_health_score,product_fit_score,support_complexity_score,price_sensitivity_score,churn_risk_score,start_date,churned_at,is_active,batch_id,created_at,updated_at
CUST_000001,Keystone Holdings Group 1 North,Commercial,Software,SMB,1-50,21,$0-$5M,South,AL,United States,Paid Search,churned,34,67,13,94,78,2023-11-18,2025-02-21,false,batch_2026_06_13_002,2023-11-18 08:30:00,2025-02-21 17:00:00
CUST_000002,Summit Care LLC 2 North,Commercial,Professional Services,SMB,51-200,133,$25M-$100M,Northeast,NH,United States,Partner,mature,64,78,34,41,24,2021-04-24,,true,batch_2026_06_13_002,2021-04-24 08:30:00,2026-06-13 09:00:00
CUST_000003,Synergy Works Co 3 North,Commercial,Construction,SMB,51-200,65,$25M-$100M,Northeast,NY,United States,Referral,onboarding,61,50,19,55,40,2026-04-08,,true,batch_2026_06_13_002,2026-04-08 08:30:00,2026-06-13 09:00:00
CUST_000004,Cobalt Builders Enterprises 4 North,Commercial,Construction,SMB,51-200,133,$25M-$100M,South,KY,United States,Outbound,mature,87,77,26,59,1,2023-03-03,,true,batch_2026_06_13_002,2023-03-03 08:30:00,2026-06-13 09:00:00
CUST_000005,Frontier Capital Company 5 North,Commercial,Professional Services,Mid-Market,201-1000,308,$25M-$100M,West,ID,United States,Partner,onboarding,72,87,46,41,8,2026-04-27,,true,batch_2026_06_13_002,2026-04-27 08:30:00,2026-06-13 09:00:00
CUST_000006,Blue Ridge Redwood Analytics 6 North,Commercial,Retail,Enterprise,5001+,10229,$1B-$5B,West,NV,United States,Outbound,churned,54,72,81,53,59,2021-09-20,2024-11-16,false,batch_2026_06_13_002,2021-09-20 08:30:00,2024-11-16 17:00:00
CUST_000007,Summit Networks Labs 7 North,Commercial,Professional Services,SMB,1-50,15,$25M-$100M,South,VA,United States,Referral,mature,52,56,9,77,55,2024-11-15,,true,batch_2026_06_13_002,2024-11-15 08:30:00,2026-06-13 09:00:00
CUST_000008,Waypoint Insights Company 8 North,Commercial,Retail,Mid-Market,1001-5000,4828,$500M-$1B,Northeast,ME,United States,Partner,adoption,83,66,46,12,17,2025-09-07,,true,batch_2026_06_13_002,2025-09-07 08:30:00,2026-06-13 09:00:00
CUST_000009,Liberty Networks Group 9 North,Commercial,Logistics,SMB,1-50,33,$5M-$25M,West,UT,United States,Content Marketing,churned,17,52,58,94,97,2022-07-17,2024-06-01,false,batch_2026_06_13_002,2022-07-17 08:30:00,2024-06-01 17:00:00
CUST_000010,Frontier Holdings Solutions 10 North,Commercial,Professional Services,SMB,51-200,104,$100M-$500M,Midwest,KS,United States,Referral,expansion,96,88,32,64,14,2021-05-03,,true,batch_2026_06_13_002,2021-05-03 08:30:00,2026-06-13 09:00:00
CUST_000011,Redwood Consulting Group 11 North,Commercial,Financial Services,Enterprise,5001+,11550,$500M-$1B,Northeast,PA,United States,Referral,adoption,83,77,77,44,43,2025-11-12,,true,batch_2026_06_13_002,2025-11-12 08:30:00,2026-06-13 09:00:00
CUST_000012,Evergreen Industrial Enterprises 12 North,Commercial,Professional Services,SMB,51-200,64,$25M-$100M,West,CA,United States,Content Marketing,adoption,75,84,25,77,28,2025-12-24,,true,batch_2026_06_13_002,2025-12-24 08:30:00,2026-06-13 09:00:00
CUST_000013,Synergy Dynamics Company 13 North,Commercial,Real Estate,SMB,1-50,17,$0-$5M,Northeast,ME,United States,Direct Sales,adoption,59,43,18,58,40,2026-01-15,,true,batch_2026_06_13_002,2026-01-15 08:30:00,2026-06-13 09:00:00
CUST_000014,Prairie Commerce Group 14 North,Commercial,Software,SMB,1-50,29,$0-$5M,South,VA,United States,Marketplace,churned,71,77,30,44,56,2024-01-08,2024-10-24,false,batch_2026_06_13_002,2024-01-08 08:30:00,2024-10-24 17:00:00
CUST_000015,Northstar Keystone Industrial 15 North,Commercial,Financial Services,SMB,51-200,145,$100M-$500M,Northeast,PA,United States,Referral,mature,67,48,23,35,26,2023-03-08,,true,batch_2026_06_13_002,2023-03-08 08:30:00,2026-06-13 09:00:00
CUST_000016,Terra Works Associates 16 North,Commercial,Retail,Mid-Market,201-1000,836,$100M-$500M,West,WA,United States,Referral,mature,92,86,31,57,10,2024-08-23,,true,batch_2026_06_13_002,2024-08-23 08:30:00,2026-06-13 09:00:00
CUST_000017,Meridian Partners Company 17 North,Commercial,Construction,Mid-Market,1001-5000,2379,$100M-$500M,Northeast,CT,United States,Content Marketing,adoption,63,77,72,41,28,2025-08-31,,true,batch_2026_06_13_002,2025-08-31 08:30:00,2026-06-13 09:00:00
CUST_000018,Apex Retail Co 18 North,Commercial,Software,Mid-Market,201-1000,788,$100M-$500M,Northeast,MA,United States,Paid Search,mature,46,47,30,41,55,2021-06-25,,true,batch_2026_06_13_002,2021-06-25 08:30:00,2026-06-13 09:00:00
CUST_000019,Harbor Energy Enterprises 19 North,Commercial,Professional Services,Mid-Market,1001-5000,3639,$100M-$500M,Midwest,MN,United States,Partner,mature,76,68,73,36,36,2023-07-13,,true,batch_2026_06_13_002,2023-07-13 08:30:00,2026-06-13 09:00:00
CUST_000020,Summit Commerce Co 20 North,Commercial,Hospitality,SMB,1-50,36,$0-$5M,Northeast,ME,United States,Event,mature,63,69,17,84,41,2024-01-29,,true,batch_2026_06_13_002,2024-01-29 08:30:00,2026-06-13 09:00:00
CUST_000021,Clearwater Commerce Enterprises 21 North,Commercial,Healthcare,Mid-Market,51-200,124,$100M-$500M,Northeast,NH,United States,Paid Search,adoption,77,68,15,56,23,2025-12-03,,true,batch_2026_06_13_002,2025-12-03 08:30:00,2026-06-13 09:00:00
CUST_000022,Meridian Medical Inc 22 North,Commercial,Financial Services,Mid-Market,201-1000,871,$100M-$500M,Midwest,KS,United States,Referral,adoption,72,88,47,58,35,2025-11-15,,true,batch_2026_06_13_002,2025-11-15 08:30:00,2026-06-13 09:00:00
